Item.Num,zerofat,lowfat,highfat,organic,all.natural,probiotic,fiber,fob,SBS.cup,NCIT.cup,Flavor1,Brand,Class
22043,0,1,0,1,0,1,0,1,0,0,strawberry,PVTLBL,REGULAR
22045,0,1,0,1,0,1,0,0,0,0,vanilla,PVTLBL,REGULAR
22046,0,1,0,1,0,1,0,0,0,0,plain,PVTLBL,REGULAR
22248,0,1,0,1,0,1,0,0,0,0,lime,PVTLBL,REGULAR
24412,0,1,0,1,0,1,0,0,0,0,vanilla,PVTLBL,REGULAR
24415,0,1,0,0,0,0,0,0,0,0,vanilla,PVTLBL,REGULAR
25586,1,0,0,0,0,0,0,0,0,0,plain,PVTLBL,GREEK
25590,1,0,0,0,0,0,0,0,0,0,vanilla,PVTLBL,GREEK
25591,1,0,0,0,0,0,0,0,0,0,honey,PVTLBL,GREEK
25592,1,0,0,0,0,0,0,0,0,0,peach,PVTLBL,GREEK
25598,1,0,0,0,0,0,0,0,0,0,blueberry,PVTLBL,GREEK
25600,1,0,0,0,0,0,0,0,0,0,strawberry,PVTLBL,GREEK
25605,1,0,0,0,0,0,0,0,0,0,plain,PVTLBL,NA
31283,0,1,0,0,0,0,0,0,0,0,strawberry,YO,REGULAR
31284,0,1,0,0,0,0,0,0,0,0,raspberry,YO,REGULAR
31285,0,1,0,0,0,0,0,0,0,0,blueberry,YO,REGULAR
32752,1,0,0,0,0,0,0,0,0,0,plain,DANNON,NA
33788,1,0,0,0,0,0,0,0,0,0,lemon,DANNON,REGULAR
35392,1,0,0,0,0,0,0,0,0,0,peach,YO,REGULAR
35565,1,0,0,0,0,0,0,0,0,0,strawberry,DANNON,REGULAR
35566,1,0,0,0,0,0,0,0,0,0,raspberry,DANNON,REGULAR
35569,1,0,0,0,0,0,0,0,0,0,blueberry,DANNON,REGULAR
35572,1,0,0,0,0,0,0,0,0,0,strawban,DANNON,REGULAR
35964,1,0,0,0,0,0,0,0,0,0,vanilla,PVTLBL,REGULAR
40718,0,1,0,0,0,0,0,0,0,0,strawberry,PVTLBL,REGULAR
40973,0,1,0,0,0,0,0,0,0,0,raspberry,PVTLBL,REGULAR
41006,0,1,0,0,0,0,0,0,0,0,strawban,PVTLBL,REGULAR
41015,0,1,0,0,0,0,0,0,0,0,blueberry,PVTLBL,REGULAR
41111,0,1,0,0,0,0,0,0,0,0,lemon,PVTLBL,REGULAR
41213,0,1,0,0,0,0,0,0,0,0,keylime,PVTLBL,REGULAR
41255,0,1,0,0,0,0,0,0,0,0,"mixed berry",PVTLBL,REGULAR
45918,1,0,0,0,0,0,0,1,0,0,blueberry,PVTLBL,REGULAR
52392,1,0,0,0,0,0,0,1,0,0,peach,PVTLBL,REGULAR
53613,1,0,0,0,0,0,0,1,0,0,strawban,PVTLBL,REGULAR
54261,1,0,0,0,0,0,0,1,0,0,strawberry,PVTLBL,REGULAR
56313,1,0,0,0,0,0,0,1,0,0,raspberry,PVTLBL,REGULAR
