Household.Num,Income,FamilySize,NumAdults,RandData,IncomeBin,FSBin,AdultBin
5784242,45000,1,1,1,25-50,1,1
5785848,62500,4,3,1,50-75,4-5,3-4
5786242,150000,2,2,1,>150,2,2
5786343,112500,2,2,1,100-150,2,2
5786444,25000,2,2,1,25-50,2,2
5789141,62500,4,4,1,50-75,4-5,3-4
5789545,87500,5,3,1,75-100,4-5,3-4
5790646,150000,4,3,1,>150,4-5,3-4
5792747,45000,4,4,1,25-50,4-5,3-4
5793141,150000,4,4,1,>150,4-5,3-4
5793343,10000,4,3,1,<25,4-5,3-4
5794343,10000,1,1,1,<25,1,1
5795343,62500,3,3,1,50-75,3,3-4
5796242,62500,4,3,1,50-75,4-5,3-4
5797444,87500,2,2,1,75-100,2,2
5798747,62500,3,2,1,50-75,3,2
5799646,62500,1,1,1,50-75,1,1
5803141,62500,3,2,1,50-75,3,2
5803343,45000,2,2,1,25-50,2,2
5805242,87500,2,2,1,75-100,2,2
5807444,112500,3,2,1,100-150,3,2
5809646,62500,3,3,1,50-75,3,3-4
5811343,112500,4,2,1,100-150,4-5,2
5812444,150000,6,3,1,>150,>=6,3-4
5812545,62500,3,2,1,50-75,3,2
5815242,87500,4,3,1,75-100,4-5,3-4
5816646,87500,4,4,1,75-100,4-5,3-4
5817444,62500,6,4,1,50-75,>=6,3-4
5819141,87500,4,2,1,75-100,4-5,2
5819343,35000,5,3,1,25-50,4-5,3-4
5820848,45000,4,3,1,25-50,4-5,3-4
5821444,62500,3,2,1,50-75,3,2
5825343,62500,4,4,1,50-75,4-5,3-4
5826545,62500,2,2,1,50-75,2,2
5827747,10000,3,3,1,<25,3,3-4
5829343,87500,3,3,1,75-100,3,3-4
5829444,10000,1,1,1,<25,1,1
5830141,62500,5,4,1,50-75,4-5,3-4
5832242,150000,6,4,1,>150,>=6,3-4
5832646,87500,2,2,1,75-100,2,2
5834444,87500,6,6,1,75-100,>=6,5-6
5835104,45000,1,1,0,25-50,1,1
5835747,35000,4,3,1,25-50,4-5,3-4
5836242,87500,2,2,1,75-100,2,2
5836646,62500,3,2,1,50-75,3,2
5838042,45000,2,2,0,25-50,2,2
5838646,35000,3,1,1,25-50,3,1
5841141,10000,2,1,1,<25,2,1
5841343,35000,2,1,1,25-50,2,1
5843421,62500,4,3,0,50-75,4-5,3-4
